CountryCode,Country,lat,long,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
620,Portugal,39.399872,-8.224454,93,93,94,94,94,95,95,95,96,96,96,97,97,97,97,98,98,98,99,99,99,99,100,100,100,100
630,Puerto Rico,18.220833,-66.590149,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
634,Qatar,25.354826,51.183884,100,100,100,100,100,100,100,100,100,100,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98
498,Republic of Moldova,47.411631,28.369885,,,72,72,72,72,72,72,72,72,73,73,73,73,74,74,74,75,75,75,75,76,76,76,76,76
638,Reunion,-21.115141,55.536384,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
642,Romania,45.943161,24.96676,70,71,71,72,72,72,73,73,73,74,74,74,74,75,75,76,76,76,77,77,78,78,78,79,79,79
643,Russian Federation,61.52401,105.318756,73,73,73,73,73,73,73,73,73,73,73,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
646,Rwanda,-1.940278,29.873888,33,35,36,37,39,40,42,43,44,45,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
659,Saint Kitts and Nevis,17.357822,-62.782998,,,,,,87,87,87,87,87,87,87,87,87,87,87,87,87,,,,,,,,
662,Saint Lucia,13.909444,-60.978893,78,79,79,80,80,81,81,82,82,83,83,84,84,85,85,86,86,87,87,88,89,89,90,90,91,91
670,Saint Vincent and the Grenadines,12.984305,-61.287228,63,64,65,66,67,68,69,70,71,72,73,74,75,76,76,76,76,76,,,,,,,,
882,Samoa,-13.759029,-172.104629,93,93,93,93,93,93,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
674,San Marino,43.94236,12.457777,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Sao Tome and Principe,0.18636,6.613081,,,,,18,18,18,18,19,20,21,22,23,25,26,27,28,29,31,32,33,34,34,35,35,35
